epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,1290.56,0.51095,0.68751,0.23458,0.17503,0.02251,5.4309,0.9997,0.99515,0.995,0.78365,0.9997,0.99515,0.995,0.8615,0.9111,0.58062,0.32228,0.24604,0.04267,0,0.00075025,0.00075025,0.00075025
27,1341.11,0.58883,0.6568,0.22702,0.17941,0.02588,5.25206,0.99308,0.98544,0.99485,0.74905,0.99308,0.98544,0.99485,0.86176,0.9874,0.54579,0.23782,0.27769,0.04666,0,0.00074026,0.00074026,0.00074026
28,1391.61,0.60345,0.64792,0.2208,0.19675,0.02699,5.3549,0.98094,0.99932,0.99446,0.82251,0.98094,0.99932,0.99446,0.86186,0.73608,0.564,0.22927,0.23713,0.03301,0,0.00073027,0.00073027,0.00073027
29,1441.56,0.53769,0.64496,0.2327,0.17731,0.02372,5.25004,0.99029,0.99033,0.995,0.85637,0.99029,0.99033,0.995,0.87235,0.67327,0.54126,0.19853,0.21336,0.03018,0,0.00072028,0.00072028,0.00072028
30,1490.1,0.58502,0.65458,0.22976,0.18935,0.02568,5.30659,0.99988,0.98544,0.9949,0.73909,0.99988,0.98544,0.9949,0.84631,1.10361,0.65437,0.34934,0.29014,0.052,0,0.00071029,0.00071029,0.00071029
31,1539.28,0.56142,0.65876,0.23767,0.18932,0.02523,5.08953,0.99466,0.99515,0.9949,0.81974,0.99466,0.99515,0.9949,0.88507,0.79595,0.51592,0.23908,0.22769,0.03634,0,0.0007003,0.0007003,0.0007003
32,1588.9,0.4358,0.61425,0.22348,0.14937,0.01884,4.98188,0.99517,0.99995,0.99495,0.87373,0.99517,0.99995,0.99495,0.86738,0.6134,0.54174,0.26179,0.18822,0.0274,0,0.00069031,0.00069031,0.00069031
33,1638.56,0.44099,0.63386,0.22697,0.14564,0.01895,4.97482,0.99429,0.99515,0.99495,0.84253,0.99429,0.99515,0.99495,0.87672,0.69731,0.51123,0.23146,0.19369,0.03165,0,0.00068032,0.00068032,0.00068032
34,1688.36,0.41752,0.60973,0.23087,0.14242,0.01804,4.95161,0.9993,0.99515,0.995,0.81164,0.9993,0.99515,0.995,0.86806,0.84716,0.54328,0.19617,0.25161,0.03835,0,0.00067033,0.00067033,0.00067033
35,1738.17,0.53403,0.61548,0.22802,0.17314,0.02364,4.88804,0.99512,0.99013,0.99495,0.79221,0.99512,0.99013,0.99495,0.85195,0.89072,0.57393,0.28395,0.2571,0.0408,0,0.00066034,0.00066034,0.00066034
36,1787.17,0.6225,0.61786,0.21061,0.18317,0.02867,4.98317,0.99008,1,0.99495,0.83304,0.99008,1,0.99495,0.88071,0.70198,0.48328,0.2407,0.20289,0.03165,0,0.00065035,0.00065035,0.00065035
37,1836.46,0.49724,0.57287,0.21859,0.15844,0.02203,4.78462,0.99066,0.99515,0.9949,0.80973,0.99066,0.99515,0.9949,0.87777,0.84881,0.51081,0.23283,0.23783,0.03852,0,0.00064036,0.00064036,0.00064036
38,1886.82,0.50201,0.56911,0.22366,0.15541,0.02219,4.76053,0.99034,0.99521,0.99495,0.86633,0.99034,0.99521,0.99495,0.88024,0.62109,0.5078,0.23046,0.18221,0.02772,0,0.00063037,0.00063037,0.00063037
39,1937.04,0.46367,0.57866,0.21536,0.15083,0.02005,4.77162,0.99936,1,0.995,0.88444,0.99936,1,0.995,0.88238,0.60395,0.50087,0.20473,0.16497,0.02678,0,0.00062038,0.00062038,0.00062038
40,1990.22,0.47073,0.56431,0.2073,0.15086,0.02026,4.50995,0.98014,0.99515,0.99476,0.89218,0.98014,0.99515,0.99476,0.88974,0.56762,0.5072,0.21459,0.19403,0.02505,0,0.00061039,0.00061039,0.00061039
41,2041.53,0.49257,0.57029,0.22069,0.15667,0.02133,4.80634,0.99462,0.99515,0.995,0.84739,0.99462,0.99515,0.995,0.85951,0.68562,0.57379,0.28312,0.20134,0.03059,0,0.0006004,0.0006004,0.0006004
42,2092.72,0.47704,0.64377,0.21641,0.16712,0.02067,5.01714,0.99912,0.99029,0.995,0.88252,0.99912,0.99029,0.995,0.85538,0.57378,0.57264,0.21984,0.18253,0.02546,0,0.00059041,0.00059041,0.00059041
43,2143.12,0.43497,0.62234,0.20881,0.14218,0.01848,4.99055,0.99935,0.99029,0.995,0.89135,0.99935,0.99029,0.995,0.85923,0.5501,0.59502,0.20314,0.16579,0.02442,0,0.00058042,0.00058042,0.00058042
44,2193.83,0.46988,0.62983,0.21319,0.16258,0.02049,5.13379,0.99976,0.99515,0.995,0.89514,0.99976,0.99515,0.995,0.86168,0.56225,0.58701,0.34745,0.17604,0.02491,0,0.00057043,0.00057043,0.00057043
45,2245.98,0.44234,0.58872,0.22025,0.14569,0.01931,4.86298,0.99922,0.99515,0.995,0.77848,0.99922,0.99515,0.995,0.88291,0.96201,0.51322,0.19336,0.25704,0.04419,0,0.00056044,0.00056044,0.00056044
46,2298.41,0.56452,0.62283,0.22321,0.17633,0.02525,5.16609,1,0.99452,0.995,0.89575,1,0.99452,0.995,0.86826,0.49865,0.56175,0.2702,0.14175,0.02172,0,0.00055045,0.00055045,0.00055045
47,2351.02,0.45656,0.61339,0.21594,0.15674,0.01963,5.62499,1,0.99508,0.995,0.81781,1,0.99508,0.995,0.89117,0.80502,0.50325,0.2464,0.21505,0.03687,0,0.00054046,0.00054046,0.00054046
48,2403.6,0.44601,0.59793,0.21238,0.13714,0.01937,5.08971,0.99747,0.99029,0.995,0.85034,0.99747,0.99029,0.995,0.88283,0.72482,0.5037,0.21833,0.21684,0.03252,0,0.00053047,0.00053047,0.00053047
49,2461.66,0.44667,0.56836,0.21358,0.14124,0.01955,4.74786,0.99514,0.99455,0.99495,0.86232,0.99514,0.99455,0.99495,0.8819,0.59936,0.49676,0.23966,0.16998,0.02678,0,0.00052048,0.00052048,0.00052048
50,2518.58,0.4387,0.57531,0.21819,0.14799,0.01896,4.66,0.98562,0.99846,0.9949,0.8921,0.98562,0.99846,0.9949,0.88091,0.54172,0.50101,0.1965,0.17498,0.02384,0,0.00051049,0.00051049,0.00051049
51,2575.57,0.47095,0.55243,0.19675,0.15513,0.02041,4.53955,0.99463,0.99029,0.99495,0.86157,0.99463,0.99029,0.99495,0.88695,0.64969,0.48505,0.23559,0.2014,0.02869,0,0.0005005,0.0005005,0.0005005
52,2628.32,0.43806,0.54525,0.20496,0.14352,0.01878,4.55231,0.99883,0.99029,0.995,0.85675,0.99883,0.99029,0.995,0.87209,0.6646,0.55739,0.32582,0.20795,0.02982,0,0.00049051,0.00049051,0.00049051
53,2680.21,0.4294,0.56966,0.20701,0.14158,0.01796,4.87885,0.99914,0.99515,0.995,0.88123,0.99914,0.99515,0.995,0.83176,0.60661,0.63965,0.30477,0.19819,0.02687,0,0.00048052,0.00048052,0.00048052
54,2731.03,0.41368,0.61695,0.21529,0.13885,0.01787,5.17864,1,0.99511,0.995,0.88374,1,0.99511,0.995,0.888,0.54029,0.49855,0.19792,0.16005,0.02374,0,0.00047053,0.00047053,0.00047053
55,2781.93,0.4478,0.61082,0.20412,0.15014,0.01936,5.14946,1,0.99437,0.995,0.8352,1,0.99437,0.995,0.89189,0.76178,0.50229,0.20658,0.21815,0.03462,0,0.00046054,0.00046054,0.00046054
56,2836.11,0.39916,0.55358,0.2128,0.12639,0.01695,5.07051,0.99032,0.99352,0.9949,0.89184,0.99032,0.99352,0.9949,0.88798,0.56794,0.49612,0.15229,0.17896,0.02516,0,0.00045055,0.00045055,0.00045055
57,2891.36,0.36272,0.54282,0.20346,0.13093,0.01525,4.50586,1,0.99869,0.995,0.87134,1,0.99869,0.995,0.9018,0.61216,0.47105,0.19309,0.19857,0.02734,0,0.00044056,0.00044056,0.00044056
58,2947.43,0.36623,0.5284,0.21213,0.12099,0.01558,4.38146,0.99965,0.99515,0.995,0.9052,0.99965,0.99515,0.995,0.89745,0.49853,0.47702,0.24073,0.15664,0.02199,0,0.00043057,0.00043057,0.00043057
59,3002.18,0.4138,0.52611,0.2059,0.13827,0.0179,4.50468,0.99479,0.99515,0.99485,0.8457,0.99479,0.99515,0.99485,0.89402,0.73628,0.48028,0.19698,0.22502,0.03311,0,0.00042058,0.00042058,0.00042058
60,3056.56,0.37567,0.51921,0.21439,0.12911,0.01602,4.34263,1,0.99466,0.995,0.8734,1,0.99466,0.995,0.8894,0.59846,0.50199,0.21356,0.18386,0.02685,0,0.00041059,0.00041059,0.00041059
61,3112.39,0.38099,0.54689,0.21091,0.12674,0.01631,4.72917,0.99429,0.99515,0.995,0.88573,0.99429,0.99515,0.995,0.89972,0.54869,0.47409,0.20311,0.1827,0.02459,0,0.0004006,0.0004006,0.0004006
62,3167.47,0.3528,0.51202,0.2139,0.12232,0.01474,4.29314,0.99972,0.99515,0.995,0.9023,0.99972,0.99515,0.995,0.89592,0.53355,0.48157,0.2115,0.16749,0.02359,0,0.00039061,0.00039061,0.00039061
63,3220.64,0.36751,0.48751,0.20186,0.12135,0.0153,4.16759,0.99466,0.99515,0.99495,0.86185,0.99466,0.99515,0.99495,0.89706,0.65085,0.48248,0.16078,0.18897,0.02922,0,0.00038062,0.00038062,0.00038062
64,3279.94,0.33287,0.49292,0.22526,0.11936,0.01412,4.22954,0.99517,0.99954,0.995,0.8774,0.99517,0.99954,0.995,0.89216,0.63535,0.49077,0.25227,0.19716,0.02816,0,0.00037063,0.00037063,0.00037063
65,3336.82,0.33747,0.51086,0.2028,0.11254,0.01412,4.30658,0.99967,0.99515,0.995,0.90778,0.99967,0.99515,0.995,0.90299,0.54163,0.48972,0.17933,0.16804,0.02365,0,0.00036064,0.00036064,0.00036064
66,3395.58,0.33539,0.47327,0.20509,0.11859,0.01407,4.17146,0.99303,0.99515,0.99495,0.86519,0.99303,0.99515,0.99495,0.90486,0.63752,0.47381,0.20444,0.19572,0.02853,0,0.00035065,0.00035065,0.00035065
67,3454.39,0.35326,0.50035,0.20869,0.1243,0.01481,4.29667,1,0.99003,0.995,0.87801,1,0.99003,0.995,0.89467,0.60265,0.49608,0.25809,0.18737,0.02652,0,0.00034066,0.00034066,0.00034066
